iter	Passed	Remaining
655	1272	667
656	1273	665
657	1275	663
658	1277	661
659	1279	659
660	1281	656
661	1282	654
662	1284	652
663	1286	650
664	1288	648
665	1289	646
666	1291	644
667	1293	642
668	1294	640
669	1296	638
670	1298	636
671	1299	634
672	1301	632
673	1303	630
674	1305	628
675	1306	626
676	1308	624
677	1310	622
678	1311	620
679	1313	618
680	1315	616
681	1317	614
682	1318	612
683	1320	610
684	1322	608
685	1323	605
686	1325	603
687	1327	601
688	1329	599
689	1330	597
690	1332	595
691	1334	593
692	1335	591
693	1337	589
694	1339	587
695	1340	585
696	1342	583
697	1344	581
698	1345	579
699	1347	577
700	1349	575
701	1351	573
702	1352	571
703	1354	569
704	1356	567
705	1358	565
706	1359	563
707	1361	561
708	1363	559
709	1364	557
710	1366	555
711	1368	553
712	1369	551
713	1371	549
714	1373	547
715	1375	545
716	1376	543
717	1378	541
718	1380	539
719	1382	537
720	1383	535
721	1385	533
722	1387	531
723	1389	529
724	1390	527
725	1392	525
726	1394	523
727	1395	521
728	1397	519
729	1399	517
730	1401	515
731	1402	513
732	1404	511
733	1406	509
734	1407	507
735	1409	505
736	1411	503
737	1413	501
738	1414	499
739	1416	497
740	1418	495
741	1419	493
742	1421	491
743	1423	489
744	1425	487
745	1426	485
746	1428	483
747	1431	482
748	1433	480
749	1435	478
750	1437	476
751	1438	474
752	1440	472
753	1442	470
754	1444	468
755	1445	466
756	1447	464
757	1449	462
758	1450	460
759	1452	458
760	1454	456
761	1455	454
762	1457	452
763	1460	451
764	1462	449
765	1464	447
766	1465	445
767	1467	443
768	1469	441
769	1470	439
770	1472	437
771	1474	435
772	1476	433
773	1477	431
774	1479	429
775	1481	427
776	1482	425
777	1484	423
778	1486	421
779	1487	419
780	1489	417
781	1491	415
782	1492	413
783	1494	411
784	1496	409
785	1498	407
786	1499	405
787	1501	404
788	1503	402
789	1505	400
790	1506	398
791	1508	396
792	1510	394
793	1511	392
794	1513	390
795	1515	388
796	1517	386
797	1518	384
798	1520	382
799	1522	380
800	1523	378
801	1525	376
802	1527	374
803	1528	372
804	1530	370
805	1532	368
806	1534	366
807	1535	364
808	1537	362
809	1539	361
810	1540	359
811	1542	357
812	1544	355
813	1546	353
814	1547	351
815	1549	349
816	1551	347
817	1552	345
818	1554	343
819	1556	341
820	1557	339
821	1560	337
822	1562	335
823	1563	334
824	1565	332
825	1567	330
826	1568	328
827	1570	326
828	1572	324
829	1574	322
830	1576	320
831	1577	318
832	1579	316
833	1581	314
834	1583	312
835	1584	310
836	1586	308
837	1588	307
838	1589	305
839	1591	303
840	1593	301
841	1594	299
842	1596	297
843	1598	295
844	1600	293
845	1601	291
846	1603	289
847	1605	287
848	1606	285
849	1608	283
850	1610	281
851	1611	280
852	1613	278
853	1615	276
854	1617	274
855	1618	272
856	1620	270
857	1622	268
858	1623	266
859	1625	264
860	1627	262
861	1628	260
862	1630	258
863	1632	257
864	1634	255
865	1636	253
866	1637	251
867	1639	249
868	1641	247
869	1642	245
870	1644	243
871	1646	241
872	1648	239
873	1650	237
874	1651	235
875	1653	234
876	1655	232
877	1657	230
878	1658	228
879	1660	226
880	1662	224
881	1664	222
882	1665	220
883	1667	218
884	1668	216
885	1670	214
886	1672	213
887	1674	211
888	1675	209
889	1677	207
890	1679	205
891	1681	203
892	1682	201
893	1684	199
894	1686	197
895	1687	195
896	1689	193
897	1691	192
898	1692	190
899	1694	188
900	1696	186
901	1697	184
902	1699	182
903	1701	180
904	1702	178
905	1704	176
906	1706	174
907	1708	173
908	1709	171
909	1711	169
910	1713	167
911	1714	165
912	1716	163
913	1718	161
914	1720	159
915	1721	157
916	1723	156
917	1725	154
918	1727	152
919	1728	150
920	1730	148
921	1732	146
922	1733	144
923	1735	142
924	1737	140
925	1738	138
926	1740	137
927	1742	135
928	1744	133
929	1745	131
930	1747	129
931	1749	127
932	1751	125
933	1752	123
934	1754	121
935	1756	120
936	1757	118
937	1759	116
938	1760	114
939	1762	112
940	1764	110
941	1766	108
942	1767	106
943	1769	104
944	1771	103
945	1773	101
946	1774	99
947	1776	97
948	1778	95
949	1779	93
950	1781	91
951	1783	89
952	1784	88
953	1786	86
954	1788	84
955	1790	82
956	1792	80
957	1795	78
958	1797	76
959	1799	74
960	1800	73
961	1802	71
962	1804	69
963	1805	67
964	1807	65
965	1809	63
966	1810	61
967	1812	59
968	1814	58
969	1816	56
970	1817	54
971	1819	52
972	1821	50
973	1823	48
974	1824	46
975	1826	44
976	1828	43
977	1829	41
978	1831	39
979	1833	37
980	1835	35
981	1836	33
982	1838	31
983	1840	29
984	1841	28
985	1843	26
986	1845	24
987	1847	22
988	1849	20
989	1850	18
990	1852	16
991	1854	14
992	1855	13
993	1857	11
994	1859	9
995	1860	7
996	1862	5
997	1864	3
998	1865	1
999	1867	0
